beta,parameter,mean_relative_error,sample_standard_deviation,trajectories,epochs
0.2,overall,0.1006366302326677,0.05718429172580286,5,45
0.2,J,0.1303944624325603,0.08923495829865952,5,45
0.2,h,0.07529096549693456,0.05420936696921636,5,45
0.4,overall,0.14775122110851177,0.06914352317703092,5,45
0.4,J,0.08578039524490252,0.06471334464291323,5,45
0.4,h,0.1626746766805996,0.08540307131534358,5,45
