beta,seed,epoch,J,h,gradient_J,gradient_h,mass_J,mass_h,instances_J,instances_h,learning_rate,cumulative_measurements,error_relative,error_J,error_h
0.2,0,35,1.0431112074093467,1.1468300822822992,0.7911635439149112,-0.04313900228124724,10.510487807645365,9.12629559372164,137,119,0.11363636363636363,286720,0.19735759577674017,0.04311120740934671,0.23544661181180052
0.2,0,36,1.0592845104514528,1.1651790535641129,-0.13973733828379645,-0.10569007458324618,10.135614936851368,8.822823617384028,136,120,0.1111111111111111,294912,0.1886141518074902,0.05928451045145278,0.2232139642905914
0.2,0,37,1.0482483569750516,1.254639677955212,0.13166758663340183,-0.7115440802498656,10.232452446938657,8.929180614900275,136,120,0.10869565217391305,303104,0.1387078740870834,0.04824835697505159,0.16357354802985866
0.2,0,38,1.0355368622825871,1.182507701663415,0.11470852810479851,0.43394596937145175,10.323767529431866,9.131732572860114,135,121,0.10638297872340426,311296,0.17721280391659386,0.03553686228258712,0.21166153222439008
0.2,0,39,1.0482001017764433,1.1862764525981249,-0.11670441517537919,-0.023155205742858627,10.157952296865004,8.891599005257714,136,120,0.10416666666666667,319488,0.17606442352876325,0.048200101776443294,0.2091490316012501
0.2,0,40,1.0616758872110903,1.1156988081744936,-0.12678018936915955,0.44266298582501473,10.217544150640416,8.946451924042403,136,120,0.1020408163265306,327680,0.21589977810355204,0.0616758872110903,0.25620079455033756
0.2,0,41,1.0215722541741452,1.1641162774705238,0.3849948771546724,-0.309871803494593,10.167575550880022,8.805909161995597,137,119,0.1,335872,0.1866986359889295,0.02157225417414521,0.22392248168631745
0.2,0,42,1.0778160064817641,1.1928803538806516,-0.5507388225962047,-0.18777189080531378,10.070652756044886,8.793220252346401,136,120,0.09803921568627452,344064,0.17574265092173294,0.07781600648176412,0.20474643074623225
0.2,0,43,1.0678074421669523,1.145330132117218,0.0999255061190809,0.3164942760574141,10.354185776910477,9.06968671686918,136,120,0.09615384615384615,352256,0.20029867267674553,0.06780744216695234,0.23644657858852133
0.2,0,44,1.0703461502527227,1.2354331562687704,-0.03293672138180355,-0.7793197962306804,10.238615103829218,8.906511956922062,136,120,0.09433962264150944,360448,0.15185437929125845,0.07034615025272273,0.17637789582081975
0.2,0,45,1.0492079936640597,1.3230583714527182,0.22437480831085385,-0.6200758575337089,10.388076231583362,9.158043434344009,136,120,0.09259259259259259,368640,0.10187438200421355,0.0492079936640597,0.11796108569818786
0.2,1,0,0.5,0.5,,,,,,,,0,0.6201736729460423,0.5,0.6666666666666666
0.2,1,1,0.5371591488204155,0.5821230641107735,-0.25830583611210683,-0.38057683258103375,7.084960076217787,5.4999490643968745,144,112,0.5,8192,0.5702144597788928,0.4628408511795845,0.6119179572594843
0.2,1,2,0.5997518030450665,0.646985685373819,-0.2805550795141631,-0.19381973908778571,7.326679777657224,5.795527936001986,142,114,0.45454545454545453,16384,0.5226653702595656,0.4002481969549335,0.5686762097507874
0.2,1,3,0.6883743371589544,0.6634491736807596,-0.8682464973768744,-0.10752995800320812,7.645953651318832,6.129207606182863,142,114,0.4166666666666667,24576,0.49518538525610634,0.31162566284104565,0.5577005508794936
0.2,1,4,0.672732020133924,0.6613482170355901,0.03904322329447596,0.003495991857562035,8.007410159303433,6.432625017914145,141,115,0.3846153846153846,32768,0.4993661039342412,0.32726797986607603,0.5591011886429399
0.2,1,5,0.6594250957601518,0.7504993570378958,0.09859659902509832,-0.44037219302970804,7.944068835736493,6.380195552556399,141,115,0.35714285714285715,40960,0.4566575822711365,0.34057490423984815,0.49966709530806946
0.2,1,6,0.6296190077249956,0.7504993570378958,0.08584153354125022,0.0,8.01187646385002,6.556050474702756,140,116,0.3333333333333333,49152,0.4637417362280016,0.37038099227500443,0.49966709530806946
0.2,1,7,0.6420385677726996,0.8397784392924837,-0.18686231891378102,-0.8955173010158556,7.897577252205085,6.467237784768201,140,116,0.3125,57344,0.41659014951435963,0.35796143222730037,0.44014770713834417
0.2,1,8,0.6725316529844099,0.9246027975527817,-0.3990327779129241,-0.7400081925959452,8.067717255257666,6.724734643396162,139,117,0.29411764705882354,65536,0.36724230478661785,0.32746834701559013,0.38359813496481215
0.2,1,9,0.5876443513580535,0.9149063176924335,0.2933705144206878,0.022340689598242397,8.30464225437024,7.029870326913607,138,118,0.2777777777777778,73728,0.39705523663131964,0.4123556486419465,0.39006245487171104
